subid	session-id	stimulus-sequence	flanker-sequence	inscapes-stimuli	movie-stimuli
0031131	2	Movie-Flanker-Inscapes-Rest	003	Inscapes_03.mp4	WallE_10m_fs.mp4
0031131	3	Inscapes-Movie-Rest-Flanker	002	Inscapes_02.mp4	AFewGoodMen_10m_fs.mp4
0031131	4	Flanker-Rest-Movie-Inscapes	001	Inscapes_01.mp4	Matrix_10m_fs.mp4
0031131	5	Rest-Inscapes-Flanker-Movie	003	Inscapes_03.mp4	WallE_10m_fs.mp4
0031131	6	Inscapes-Movie-Flanker-Rest	002	Inscapes_02.mp4	AFewGoodMen_10m_fs.mp4
0031131	7	Flanker-Inscapes-Rest-Movie	001	Inscapes_01.mp4	Matrix_10m_fs.mp4
0031131	9	Movie-Rest-Inscapes-Flanker	003	Inscapes_03.mp4	WallE_10m_fs.mp4
0031131	10	Rest-Flanker-Movie-Inscapes	002	Inscapes_02.mp4	AFewGoodMen_10m_fs.mp4
0031131	11	Flanker-Inscapes-Movie-Rest	001	Inscapes_01.mp4	Matrix_10m_fs.mp4
0031131	12	Movie-Flanker-Rest-Inscapes	003	Inscapes_03.mp4	WallE_10m_fs.mp4
0031131	13	Inscapes-Rest-Flanker-Movie	002	Inscapes_02.mp4	AFewGoodMen_10m_fs.mp4
0031131	14	Rest-Movie-Inscapes-Flanker	001	Inscapes_01.mp4	Matrix_10m_fs.mp4
